"%1 <a href=""%2"">Open the mail health report</a>.","%1 <a href=""%2"">Open the mail health report</a>."
"%1 bytes","%1 bytes"
"%1 entries deleted.","%1 entries deleted."
"%1 is not a port number.","%1 is not a port number."
"%1 is not an e-mail address.","%1 is not an e-mail address."
"%1 ms","%1 ms"
"%1: sending e-mail works again","%1: sending e-mail works again"
"%1: the shop cannot send e-mail (%2)","%1: the shop cannot send e-mail (%2)"
"587 for STARTTLS, 465 for TLS from the first byte. Port 25 is blocked outbound by most hosting companies.","587 for STARTTLS, 465 for TLS from the first byte. Port 25 is blocked outbound by most hosting companies."
"A Mailgun domain created in the European region answers only on the European host.","A Mailgun domain created in the European region answers only on the European host."
"A bar across the admin panel","A bar across the admin panel"
"A cron expression. Every quarter of an hour by default, which is about as long as anybody wants to be unable to send without knowing it.","A cron expression. Every quarter of an hour by default, which is about as long as anybody wants to be unable to send without knowing it."
"A domain created in the European region only answers on the European host.","A domain created in the European region only answers on the European host."
"A host name, without a scheme. A whole address pasted here is understood and tidied up.","A host name, without a scheme. A whole address pasted here is understood and tidied up."
"A mailbox is not a sending service. This one has a daily limit a shop reaches on its first busy day, and every recipient counts towards it.","A mailbox is not a sending service. This one has a daily limit a shop reaches on its first busy day, and every recipient counts towards it."
"A mailbox is not a sending service: Google stops a free account at around 500 messages a day and a Workspace one at around 2000, and counts every recipient. Fine for a small shop, a bad surprise for a busy one.","A mailbox is not a sending service: Google stops a free account at around 500 messages a day and a Workspace one at around 2000, and counts every recipient. Fine for a small shop, a bad surprise for a busy one."
"A new Amazon SES account may only write to verified addresses until Amazon takes it out of the sandbox.","A new Amazon SES account may only write to verified addresses until Amazon takes it out of the sandbox."
"A port that answers nothing at all is most often one the hosting company blocks outbound. Ask them to open it, or use the alternative port the provider offers.","A port that answers nothing at all is most often one the hosting company blocks outbound. Ask them to open it, or use the alternative port the provider offers."
"A problem is reported once, again if its reason changes, and once more after a long silence. When it is over, that is reported too.","A problem is reported once, again if its reason changes, and once more after a long silence. When it is over, that is reported too."
"A problem that may pass","A problem that may pass"
"A server of my own","A server of my own"
"A webhook","A webhook"
"Accepted by the server","Accepted by the server"
"Accepted by the server for %1 in %2 ms. Whether it arrives is a separate question, and the answer is in that mailbox.","Accepted by the server for %1 in %2 ms. Whether it arrives is a separate question, and the answer is in that mailbox."
"Action","Action"
"Always send from","Always send from"
"Always the literal word SMTP_Injection. It is filled in for you and cannot be changed.","Always the literal word SMTP_Injection. It is filled in for you and cannot be changed."
"Always the literal word apikey. It is filled in for you and cannot be changed.","Always the literal word apikey. It is filled in for you and cannot be changed."
"Always the literal word resend. It is filled in for you and cannot be changed.","Always the literal word resend. It is filled in for you and cannot be changed."
"Amazon SES needs SMTP credentials created under its SMTP settings. An AWS access key and secret are a different thing and will always be refused here.","Amazon SES needs SMTP credentials created under its SMTP settings. An AWS access key and secret are a different thing and will always be refused here."
"An API key from the SMTP & API Info page.","An API key from the SMTP & API Info page."
"An API key from the dashboard.","An API key from the dashboard."
"An API key with the Mail Send permission. It is shown once, when it is created.","An API key with the Mail Send permission. It is shown once, when it is created."
"An API key with the Send via SMTP permission.","An API key with the Send via SMTP permission."
"An App password, not the account password. Google only issues one once two-step verification is on; the spaces it shows may be typed or left out.","An App password, not the account password. Google only issues one once two-step verification is on; the spaces it shows may be typed or left out."
"An SES SMTP user name. These are created under SMTP settings and are not the same thing as an AWS access key.","An SES SMTP user name. These are created under SMTP settings and are not the same thing as an AWS access key."
"An SMTP credential generated in the account, not the password you sign in with.","An SMTP credential generated in the account, not the password you sign in with."
"An SMTP key generated on the same page. The account password will not work.","An SMTP key generated on the same page. The account password will not work."
"An SMTP user created in the dashboard, not the address you sign in with.","An SMTP user created in the dashboard, not the address you sign in with."
"An application-specific password, which is what Zoho issues once two-factor authentication is on.","An application-specific password, which is what Zoho issues once two-factor authentication is on."
"An e-mail","An e-mail"
"An https address. A JSON body with a text field is posted to it, which is what Slack, Teams and Discord all accept.","An https address. A JSON body with a text field is posted to it, which is what Slack, Teams and Discord all accept."
"Attempts","Attempts"
"Australia","Australia"
"Back to the messages","Back to the messages"
