"%1 <a href=""%2"">Open the mail health report</a>.","%1 <a href=""%2"">Otwórz raport o wysyłce poczty</a>."
"%1 bytes","%1 bajtów"
"%1 entries deleted.","Usunięto %1 wpisów."
"%1 is not a port number.","%1 nie jest numerem portu."
"%1 is not an e-mail address.","%1 nie jest adresem e-mail."
"%1 ms","%1 ms"
"%1 of the 10 DNS lookups a receiver allows","%1 z 10 zapytań DNS, na które pozwala odbiorca"
"%1 publishes no DMARC record, so nobody is told when somebody forges the shop's address and receivers have no instruction about what to do with it.","%1 nie publikuje wpisu DMARC, więc nikt nie dowie się o podszywaniu pod adres sklepu, a odbiorcy nie mają wskazówki, co z taką pocztą robić."
"%1 publishes no SPF record, so nothing says which servers may send as it. Gmail and Outlook treat mail from such a domain as suspicious by default.","%1 nie publikuje wpisu SPF, więc nic nie mówi, które serwery mogą z niej wysyłać. Gmail i Outlook domyślnie traktują pocztę z takiej domeny jako podejrzaną."
"%1 publishes two SPF records. A receiving server reads that as a permanent error and ignores both, so the domain authorises nobody at all — they have to be merged into one.","%1 publikuje dwa wpisy SPF. Serwer odbiorcy czyta to jako błąd trwały i pomija oba, więc domena nie dopuszcza nikogo — trzeba je scalić w jeden."
"%1: sending e-mail works again","%1: wysyłka poczty znowu działa"
"%1: the shop cannot send e-mail (%2)","%1: sklep nie może wysyłać poczty (%2)"
"587 for STARTTLS, 465 for TLS from the first byte. Port 25 is blocked outbound by most hosting companies.","587 dla STARTTLS, 465 dla TLS od pierwszego bajtu. Port 25 jest wychodząco zablokowany u większości hostingów."
"A Mailgun domain created in the European region answers only on the European host.","Domena Mailgun utworzona w regionie europejskim odpowiada wyłącznie na europejskim hoście."
"A bar across the admin panel","Pasek na każdej stronie panelu"
"A cron expression. Every quarter of an hour by default, which is about as long as anybody wants to be unable to send without knowing it.","Wyrażenie crona. Domyślnie co kwadrans, czyli mniej więcej tyle, ile można nie wiedzieć o tym, że sklep nie wysyła."
"A domain created in the European region only answers on the European host.","Domena utworzona w regionie europejskim odpowiada tylko na europejskim hoście."
"A host name, without a scheme. A whole address pasted here is understood and tidied up.","Nazwa hosta, bez schematu. Wklejony tu cały adres zostanie zrozumiany i uporządkowany."
"A mailbox is not a sending service. This one has a daily limit a shop reaches on its first busy day, and every recipient counts towards it.","Skrzynka pocztowa nie jest usługą do wysyłki. Ta ma dzienny limit, który sklep wyczerpuje pierwszego pracowitego dnia, a liczy się każdy odbiorca."
"A mailbox is not a sending service: Google stops a free account at around 500 messages a day and a Workspace one at around 2000, and counts every recipient. Fine for a small shop, a bad surprise for a busy one.","Skrzynka pocztowa nie jest usługą do wysyłki: Google zatrzymuje darmowe konto przy około 500 wiadomościach na dobę, a konto Workspace przy około 2000, i liczy każdego odbiorcę. Dla małego sklepu w porządku, dla obleganego — nieprzyjemna niespodzianka."
"A new Amazon SES account may only write to verified addresses until Amazon takes it out of the sandbox.","Nowe konto Amazon SES może pisać wyłącznie na zweryfikowane adresy, dopóki Amazon nie wyjmie go z piaskownicy."
"A port that answers nothing at all is most often one the hosting company blocks outbound. Ask them to open it, or use the alternative port the provider offers.","Port, który w ogóle nie odpowiada, jest najczęściej portem zablokowanym wychodząco przez hosting. Poproś o jego otwarcie albo użyj portu zapasowego, który podaje dostawca."
"A problem is reported once, again if its reason changes, and once more after a long silence. When it is over, that is reported too.","O problemie mówimy raz, ponownie gdy zmieni się jego powód, i jeszcze raz po długiej ciszy. Kiedy się skończy, o tym też powiemy."
"A problem that may pass","Problem, który może minąć"
"A server of my own","Własny serwer"
"A webhook","Webhook"
"Accepted by the server","Przyjęta przez serwer"
"Accepted by the server for %1 in %2 ms. Whether it arrives is a separate question, and the answer is in that mailbox.","Serwer przyjął wiadomość dla %1 w %2 ms. Czy dotrze, to osobne pytanie — odpowiedź jest w tej skrzynce."
"Action","Działanie"
"Also authorised","Dopuszczony także"
"Always send from","Zawsze wysyłaj z adresu"
"Always the literal word SMTP_Injection. It is filled in for you and cannot be changed.","Zawsze dosłownie SMTP_Injection. Wypełniamy to za Ciebie i nie da się tego zmienić."
"Always the literal word apikey. It is filled in for you and cannot be changed.","Zawsze dosłownie apikey. Wypełniamy to za Ciebie i nie da się tego zmienić."
"Always the literal word resend. It is filled in for you and cannot be changed.","Zawsze dosłownie resend. Wypełniamy to za Ciebie i nie da się tego zmienić."
"Amazon SES needs SMTP credentials created under its SMTP settings. An AWS access key and secret are a different thing and will always be refused here.","Amazon SES wymaga danych SMTP utworzonych w jego ustawieniach SMTP. Klucz dostępu AWS i jego sekret to coś innego i zawsze zostaną tu odrzucone."
"An API key from the SMTP & API Info page.","Klucz API ze strony SMTP & API Info."
"An API key from the dashboard.","Klucz API z panelu dostawcy."
"An API key with the Mail Send permission. It is shown once, when it is created.","Klucz API z uprawnieniem Mail Send. Jest pokazywany raz, przy tworzeniu."
"An API key with the Send via SMTP permission.","Klucz API z uprawnieniem Send via SMTP."
"An App password, not the account password. Google only issues one once two-step verification is on; the spaces it shows may be typed or left out.","Hasło aplikacji, nie hasło do konta. Google wydaje je dopiero po włączeniu weryfikacji dwuetapowej; pokazywane spacje można przepisać albo pominąć."
"An SES SMTP user name. These are created under SMTP settings and are not the same thing as an AWS access key.","Nazwa użytkownika SMTP z SES. Tworzy się ją w ustawieniach SMTP i nie jest tym samym co klucz dostępu AWS."
"An SMTP credential generated in the account, not the password you sign in with.","Dane SMTP wygenerowane w koncie, nie hasło, którym się logujesz."
"An SMTP key generated on the same page. The account password will not work.","Klucz SMTP wygenerowany na tej samej stronie. Hasło do konta nie zadziała."
"An SMTP user created in the dashboard, not the address you sign in with.","Użytkownik SMTP utworzony w panelu, nie adres, którym się logujesz."
"An application-specific password, which is what Zoho issues once two-factor authentication is on.","Hasło dla aplikacji, czyli to, co Zoho wydaje po włączeniu uwierzytelniania dwuskładnikowego."
"An e-mail","Wiadomość e-mail"
"An https address. A JSON body with a text field is posted to it, which is what Slack, Teams and Discord all accept.","Adres https. Wysyłamy na niego treść JSON z polem text, czyli to, co przyjmują Slack, Teams i Discord."
"Attempts","Próby"
"Australia","Australia"
"Back to the messages","Powrót do wiadomości"
"Brevo wants the SMTP key from its SMTP & API page, not the password used to sign in.","Brevo wymaga klucza SMTP ze swojej strony SMTP & API, a nie hasła do logowania."
"CRAM-MD5","CRAM-MD5"
"Certificate not accepted","Certyfikat nieprzyjęty"
"Change the mail sending settings","Zmień ustawienia wysyłki poczty"
"Check it now","Sprawdź teraz"
"Check now","Sprawdź teraz"
"Check that the address matches the name on the certificate and that the certificate has not expired.","Sprawdź, czy adres zgadza się z nazwą w certyfikacie i czy certyfikat nie wygasł."
"Check the certificate","Sprawdzaj certyfikat"
"Check the connection","Sprawdzenie połączenia"
"Check the connection now","Sprawdź połączenie teraz"
"Check the connection regularly","Sprawdzaj połączenie regularnie"
"Check the sender domain","Sprawdź domenę nadawcy"
"Check the sender domain now","Sprawdź domenę nadawcy teraz"
"Check what the domain publishes","Sprawdzaj, co publikuje domena"
"Checked in %1 ms. A connection that works is not a delivery that works: send a test message to be sure of that.","Sprawdzone w %1 ms. Działające połączenie to nie to samo co dostarczona wiadomość: żeby mieć pewność, wyślij wiadomość testową."
"Checking the sender domain is switched off.","Sprawdzanie domeny nadawcy jest wyłączone."
"Checks the settings as they are saved, so save first. It opens a connection, raises encryption and logs in, and sends nothing.","Sprawdza ustawienia w wersji zapisanej, więc najpierw zapisz. Otwiera połączenie, podnosi szyfrowanie i loguje się, ale nic nie wysyła."
"Connection refused","Połączenie odrzucone"
"Counted within","Liczone w okresie"
"Credentials refused","Dane logowania odrzucone"
"DKIM","DKIM"
"DMARC","DMARC"
"Days. Entries older than this are deleted nightly, whether the log is switched on or not — a log turned off last month should not still be holding last month's mail.","Dni. Starsze wpisy są usuwane nocą niezależnie od tego, czy log jest włączony — log wyłączony miesiąc temu nie powinien nadal trzymać poczty z tamtego miesiąca."
"Delete","Usuń"
"Delete the selected entries?","Usunąć wybrane wpisy?"
"Deleting these entries cannot be undone. Any message body they still hold goes with them, so a failed message deleted here can no longer be sent again.","Usunięcia tych wpisów nie da się cofnąć. Razem z nimi przepada zachowana treść wiadomości, więc usuniętej tu nieudanej wiadomości nie wyślesz już ponownie."
"Dropped by Magento","Porzucona przez Magento"
"Dropped, because Magento is set to send no e-mail","Porzucona, bo Magento ma wyłączoną wysyłkę poczty"
"E-mail","E-mail"
"E-mail sending","Wysyłka poczty"
"E-mail sending (SMTP)","Wysyłka poczty (SMTP)"
"Empty means the address warnings go to.","Puste oznacza adres, na który idą ostrzeżenia."
"Empty means the shop's general contact address.","Puste oznacza ogólny adres kontaktowy sklepu."
"Encryption","Szyfrowanie"
"Encryption could not be agreed","Nie udało się ustalić szyfrowania"
"Europe","Europa"
"Evaluating this SPF record costs %1 DNS lookups and receivers give up after %2. Past that the record is ignored outright, however sensible it looks.","Sprawdzenie tego wpisu SPF kosztuje %1 zapytań DNS, a odbiorcy rezygnują po %2. Powyżej tej granicy wpis jest pomijany w całości, choćby wyglądał sensownie."
"Every store view","Wszystkie widoki sklepu"
"Failed checks before warning","Nieudane sprawdzenia przed ostrzeżeniem"
"Failed checks in a row","Nieudane sprawdzenia z rzędu"
"Failed messages before warning","Nieudane wiadomości przed ostrzeżeniem"
"Failing since","Nie działa od"
"Failing since: %1","Nie działa od: %1"
"Fill in an address above, or set the address warnings go to.","Wpisz adres powyżej albo ustaw adres, na który idą ostrzeżenia."
"For a chat room or a monitoring system. Use this where nobody opens the panel daily.","Dla komunikatora albo systemu monitoringu. Przydaje się tam, gdzie nikt nie zagląda do panelu codziennie."
"Four times a day, on cron, and never while a page is being rendered. It reads SPF, DKIM and DMARC and never changes anything.","Cztery razy na dobę, z crona, i nigdy w trakcie renderowania strony. Czyta SPF, DKIM i DMARC, niczego nie zmienia."
"Frankfurt","Frankfurt"
"From","Od"
"Give up after","Poddaj się po"
"Google wants an App password here rather than the account password, and only issues one once two-step verification is on.","Google wymaga tu hasła aplikacji, a nie hasła do konta, i wydaje je dopiero po włączeniu weryfikacji dwuetapowej."
"Health check","Kontrola stanu"
"How often","Jak często"
"If it arrived in a spam folder rather than an inbox, the settings are right and the domain's SPF, DKIM and DMARC records are what to look at next.","Jeśli trafiła do niechcianych, a nie do skrzynki odbiorczej, to ustawienia są dobre, a następne w kolejce do sprawdzenia są wpisy SPF, DKIM i DMARC domeny."
"If it is in the spam folder, the settings are right and the next thing to look at is the domain's SPF, DKIM and DMARC records.","Jeśli jest w niechcianych, ustawienia są dobre, a kolejną rzeczą do sprawdzenia są wpisy SPF, DKIM i DMARC domeny."
"If it is nowhere at all within a few minutes, the provider took it and dropped it: their own dashboard will say why.","Jeśli po kilku minutach nie ma jej nigdzie, dostawca ją przyjął i porzucił: powód będzie w jego własnym panelu."
"If port 587 is blocked outbound, 2525 answers the same way.","Jeśli port 587 jest zablokowany wychodząco, 2525 odpowiada tak samo."
"India","Indie"
"Ireland","Irlandia"
"It failed again: %1","Znowu się nie udało: %1"
"Keep a log of what was sent","Prowadź log wysłanych wiadomości"
"Keep entries for","Przechowuj wpisy przez"
"Keep the message body","Zachowuj treść wiadomości"
"LOGIN","LOGIN"
"Last checked","Ostatnio sprawdzane"
"Last message sent","Ostatnia wysłana wiadomość"
"Last worked","Ostatnio działało"
"Leave this alone unless a provider asks for something specific. The health check reports what the server offers.","Nie zmieniaj, chyba że dostawca wymaga czegoś konkretnego. Kontrola stanu pokazuje, co oferuje serwer."
"Leave this on. Turning it off makes an untrusted certificate work, and makes an intercepted connection work too.","Zostaw włączone. Wyłączenie sprawia, że zadziała niezaufany certyfikat — a razem z nim połączenie podsłuchiwane."
"Log","Log"
"Log in with","Loguj się metodą"
"Logging in postponed","Logowanie odłożone"
"Logs in as","Loguje się jako"
"Look in that mailbox now. If it is there, sending works.","Zajrzyj teraz do tej skrzynki. Jeśli wiadomość tam jest, wysyłka działa."
"Magento is set to send no e-mail at all. Until Disable Email Communications is turned off, nothing leaves the shop however this is configured.","Magento ma całkowicie wyłączoną wysyłkę poczty. Dopóki opcja Disable Email Communications jest włączona, nic nie wyjdzie ze sklepu, niezależnie od tych ustawień."
"Magento's own mail settings point at %1. They are ignored while this module is on, but they will mislead whoever reads them next.","Własne ustawienia poczty Magento wskazują na %1. Przy włączonym module są pomijane, ale wprowadzą w błąd następną osobę, która je przeczyta."
"Mail health report","Raport o wysyłce poczty"
"Mail log","Log poczty"
"Mail sending settings","Ustawienia wysyłki poczty"
"Mail servers have bad minutes. A refused password is reported at once whatever this says, because that will not fix itself.","Serwery pocztowe mają gorsze minuty. Odrzucone hasło zgłaszamy od razu, niezależnie od tej wartości, bo samo się nie naprawi."
"Mailjet uses the API key as the login and the secret key as the password.","Mailjet używa klucza API jako loginu, a klucza tajnego jako hasła."
"Message refused","Wiadomość odrzucona"
"Message to %1","Wiadomość do %1"
"Messages that failed to go out","Wiadomości, które nie wyszły"
"Messages that failed to go out: %1","Wiadomości, które nie wyszły: %1"
"Microsoft 365 turns SMTP AUTH off by default; it has to be switched on for this mailbox in the Microsoft 365 admin centre.","Microsoft 365 domyślnie wyłącza SMTP AUTH; trzeba go włączyć dla tej skrzynki w centrum administracyjnym Microsoft 365."
"No DKIM key for this provider is published at %1; we looked for %2._domainkey. Gmail and Yahoo have expected bulk senders to sign their mail since 2024, and unsigned mail from a shop is increasingly filed as spam.","W %1 nie ma opublikowanego klucza DKIM tego dostawcy; szukaliśmy %2._domainkey. Gmail i Yahoo od 2024 roku oczekują, że masowi nadawcy podpisują pocztę, a niepodpisane wiadomości ze sklepu coraz częściej trafiają do niechcianych."
"No STARTTLS offered","Brak STARTTLS"
"No answer","Brak odpowiedzi"
"No answer from %1 within %2 seconds.","Brak odpowiedzi z %1 w ciągu %2 sekund."
"No route to the server","Brak trasy do serwera"
"No way to log in","Brak sposobu na zalogowanie"
"None — only for a relay on the same machine","Brak — tylko dla przekaźnika na tej samej maszynie"
"None — the server accepts us by address","Brak — serwer przyjmuje nas po adresie"
"North Virginia","Wirginia Północna"
"Not a mail server","To nie serwer pocztowy"
"Not checked yet","Jeszcze nie sprawdzono"
"Not configured","Nieskonfigurowane"
"Not sent","Niewysłana"
"Nothing has been checked yet. The check runs on cron, and the button below runs it now.","Nic jeszcze nie zostało sprawdzone. Kontrola chodzi z crona, a przycisk poniżej uruchamia ją od razu."
"Nothing in what %1 publishes should stop the mail arriving.","W tym, co publikuje %1, nie ma nic, co powinno zatrzymać dostarczanie poczty."
"Nothing is listening at %1.","Nic nie nasłuchuje na %1."
"Nothing needs to be done.","Nie trzeba nic robić."
"Nothing was checked: we do not know which domain this shop sends as.","Nic nie zostało sprawdzone: nie wiemy, z jakiej domeny ten sklep wysyła."
